Post,Number of reactions,Nature of post,Channel,,,
"# 🎬 I AM 

Serving as a love letter to her fans, Celine Dion highlights the music that has guided her life while also showcasing the resilience of the human spirit as she struggles with a life-altering illness.

Today at 18:00 BST in **[theatre]**!",1,Movie stream announcement,Announcements,,,
"# Returning to Paradise

👋🪼! We will be running **Paradise** in just under **5mins**! 

Join us for the watch-along at the **[theatre]",4,Movie stream announcement,Announcements,,,
"# Finally, its arrived. Game Streaming nights are here. This week we will start off with a classic. One of the best selling video games of all time, Titanfall. Sunday,  1st December 2024. 18.00pm BST",3,Game stream announcement,Announcements,,,
"#  The survivors of humanity band together, continuing to survive underground in the Moscow metro...
Join in for a 1 hr gaming livestream followed by a 30mins discussion afterward to debate this topic which is especially relevant for anyone who has designs on extending human lifespan through this captivity display of longevity media.",3,Game stream announcement,Announcements,,,
"# Metro – Life goes on… The adventure continues in the metro, where after a devastating nuclear war, the survivors of humanity band together, continuing to survive underground in the Moscow metro. Join in for a 1 hr gaming livestream followed by a 30mins discussion afterward to debate this topic which is especially relevant for anyone who has designs on extending human lifespan through this captivating display of longevity media - streming 22.12.2024",3,Game stream announcement,Announcements,,,
"# JellyfishDAO will be launching its first token soon. If you are involved in the field of crypto marketing - we'd love to hear from you!!!
Please message if you think you can help and would like to know more about this amazing opportunity. ",3,Strategic announcement,Announcements,,,
"Ahead of the launch of our own very first token,** $jelly, **we will be streaming the new thriller, Take Cover, recently released on Prime and starring one of our very own core members, here on our JellyfishDAO discord. 

During the session we will be taking questions for a live interview we will be streaming with her on Discord in where she will be talking about her life as an actress, her progression into the role of producing, and the launch of JellyfishDAOs first ever token, $jelly, amongst other things...
We hope to see you there.
. 
Stream will commence Sunday 29th December, 6pm in our theatre area",6,Strategic announcement,Announcements,,,
"# An Interview to celebrate the impending launch of JellyfishDAOs much vaunted token -** $jelly**
@everyone

This week we will be talking with JellyfishDAO core member, where she will give us an exclusive insight into life inside Hollywood, discuss her recent film Take Cover, tell us more about what its like working alongside other Hollywood film stars such as Martial Arts film superstar Scott Adkins, share her favorite longevity themed movies, and tell us about the launch of JellyfishDAOs first ever token, **$jelly,** amongst so much more - **live on Jellyfish discord  Saturday January,  11th at 12pm GMT…**",4,Interview announcement,Announcements,,,
https://x.com/JellyfishDAO/status/1877772029354525055,3,Reshared Twitter post,Announcements,,,
https://discord.gg/au84fve2?event=1330503066516066325,0,Invitation,Announcements,,,
